Class Accuracy,Bitwise Accuracy,Class Recall,Class Precision,Class F1,Bitwise Recall,Bitwise Precision,Bitwise F1,Mean Hamming Distance,Mean Error Distance,Training,Model
0.8824900133155792,0.9638814913448736,0.8310837509155463,0.7549241005070627,0.793535391845407,0.9927796819688711,0.9377189258040548,0.9644640956357979,0.21671105193075899,1.8441926345609065,CB,MC
0.9593042609853528,0.9908455392809588,0.9393319462501217,0.7671915111772332,0.8723269011342977,0.9966286452772939,0.9850058310656967,0.9907831527203664,0.05492676431424767,1.3496932515337423,CB,ML
0.9376664447403462,0.9857689747003995,0.9244625874051126,0.7761639041175344,0.8604173404162447,0.9908973422486936,0.980484821527855,0.9856635832657967,0.0853861517976032,1.369826435246996,LB,MC
0.953728362183755,0.9899439636040834,0.9217319568899482,0.7479832006835397,0.859126360464052,0.9973591054672136,0.982535772605242,0.9898919484140816,0.06033621837549934,1.3039568345323742,LB,ML
0.9392476697736352,0.9840213049267643,0.8958884747662275,0.7803127022159174,0.8476308046066654,0.991206383098275,0.9767718715393134,0.9839361909808407,0.09587217043941411,1.5780821917808219,AB,MC
0.9736185086551264,0.9947292498890369,0.948979044336045,0.814388611174916,0.900606701543978,0.9956172388604821,0.9937188043295384,0.994667115751656,0.03162450066577896,1.1987381703470033,AB,ML
0.9188581890812251,0.9805120949844651,0.7525693051281633,0.8982275915728924,0.8358429968737586,0.969994942967916,0.9903335914866764,0.9800587592432264,0.11692743009320905,1.441025641025641,Base,MC
0.9664613848202397,0.9932451176209498,0.9013543340214554,0.8207746899922876,0.886436730119663,0.9922739787604652,0.9940333793025808,0.9931528998242531,0.04052929427430093,1.2084367245657568,Base,ML
0.8730026631158455,0.9611906347092766,0.762794062820617,0.7424435314132959,0.794454050778859,0.9918244647974378,0.9336947897381646,0.9618821862568797,0.23285619174434088,1.833551769331586,CB,MC
0.960219707057257,0.9911506879715934,0.9307421114961102,0.7726817605535029,0.8837017640748591,0.995982468955442,0.986229344016024,0.9910819122169415,0.053095872170439415,1.3347280334728033,CB,ML
0.9395805592543276,0.9861989569462938,0.9036623549293784,0.7805919487554491,0.8513807253800711,0.9907006798898691,0.9815180783254933,0.9860880021252499,0.08280625832223702,1.3705234159779613,LB,MC
0.9571404793608522,0.9905681313803817,0.9102932384405451,0.8069507624339832,0.8844218552542298,0.9978929032983087,0.9832521315468941,0.9905184193647341,0.05659121171770972,1.3203883495145632,LB,ML
0.9394973368841545,0.984229360852197,0.8606865690469598,0.8099767517762738,0.8468911645409393,0.9912625723436534,0.9771248165277354,0.9841429228902556,0.09462383488681758,1.5639614855570838,AB,MC
0.9748668442077231,0.9950343985796716,0.9631500298143939,0.778133412347555,0.9044972969517949,0.9956453334831713,0.9943044722518377,0.9949744511202201,0.029793608521970705,1.185430463576159,AB,ML
0.9169440745672437,0.9800543719485131,0.7579733532820345,0.877769503253821,0.8349755736612766,0.9690397257964826,0.9903525898702193,0.9795802448098606,0.11967376830892144,1.440881763527054,Base,MC
0.9619673768308922,0.9924683754993342,0.9019943265947165,0.7828955940957454,0.8640153873340358,0.9912906669663426,0.9934397612410958,0.992364050568829,0.045189747003994675,1.188183807439825,Base,ML
0.874167776298269,0.9612461162893919,0.7772769956597411,0.7131002552657313,0.7886955950392291,0.9919087486655054,0.9337247434676822,0.9619377162629758,0.23252330226364848,1.847883597883598,CB,MC
0.9575565912117177,0.9905820017754106,0.9232114947833044,0.7473378028888773,0.87936077175756,0.9962634151823341,0.9848362818340878,0.9905168922221756,0.05650798934753662,1.3313725490196078,CB,ML
0.9375832223701731,0.9852141588992455,0.8613408906420342,0.7320577917076055,0.8515668252252426,0.9902511659268416,0.9800088972918868,0.985103409726104,0.0887150466045273,1.4213333333333333,LB,MC
0.9547270306258322,0.9899023524189969,0.8987884866726706,0.7794998419136066,0.8742490466383791,0.997555767826038,0.9822673453579728,0.9898525271110369,0.06058588548601864,1.338235294117647,LB,ML
0.9372503328894807,0.9830919884598314,0.8689427957048405,0.750431142730161,0.8608133163300018,0.9898859358318818,0.9762003712631259,0.982995522200678,0.10144806924101199,1.6167108753315649,AB,MC
0.973202396804261,0.9945073235685752,0.9715012768430432,0.8037028371182623,0.9195137835453703,0.9954205765016576,0.9934668012561687,0.9944427292374188,0.0329560585885486,1.2298136645962734,AB,ML
0.9176930758988016,0.9804704837993786,0.7603877171916064,0.8952176622945701,0.8421649069553335,0.9704444569309434,0.9897988423405353,0.9800261022527379,0.11717709720372836,1.4236602628918098,Base,MC
0.9645472703062583,0.9927596537949401,0.8911307810022391,0.778263738688368,0.881019430135749,0.9915435185705456,0.9937771019879484,0.9926590538336052,0.04344207723035952,1.2253521126760563,Base,ML
0.8772470039946738,0.9627441189525078,0.788494615362442,0.7285282763074928,0.7724462167278443,0.9923020733831545,0.9360754796989292,0.9633690641791451,0.2235352862849534,1.8210169491525423,CB,MC
0.956974034620506,0.9904294274300932,0.9212808157629399,0.7596834396151831,0.8838016192341914,0.9963476990504018,0.9844548079058405,0.990365550559915,0.05742343541944075,1.3346228239845261,CB,ML
0.9369174434087882,0.9857551043053706,0.9018433803187149,0.740014691472509,0.8539558511816692,0.9909816261167612,0.9803774423969538,0.985651013650399,0.0854693741677763,1.3548812664907652,LB,MC
0.9540612516644474,0.9897359076786507,0.9031724089263007,0.7567513929622472,0.8704373777160356,0.9974714839579705,0.9820213531006251,0.9896861236550148,0.06158455392809587,1.3405797101449275,LB,ML
0.9361684420772304,0.9834387483355526,0.8730559490703939,0.7519819117668988,0.8556823430228483,0.99030735517222,0.9764806914510499,0.9833454220833565,0.09936750998668442,1.5567144719687092,AB,MC
0.9719540612516645,0.9942992676431425,0.9322116744506472,0.7866551944763408,0.9072479215035056,0.9951677248974546,0.9932980006169204,0.9942319837204407,0.03420439414114514,1.2195845697329377,AB,ML
0.9159454061251664,0.9798463160230804,0.7410230924979674,0.8803943743495254,0.8560322253714275,0.9690397257964826,0.9899262405648194,0.9793716370657468,0.12092210386151797,1.4386138613861386,Base,MC
0.9625499334221038,0.9923296715490457,0.88816762360926,0.756761075496985,0.8812038175823175,0.9915435185705456,0.9929103952735968,0.9922264861749532,0.0460219707057257,1.228888888888889,Base,ML
0.8787450066577897,0.9622725255215269,0.7779577814528942,0.7291958725215758,0.8089740472385935,0.9919930325335731,0.9354864349300551,0.9629114510894762,0.22636484687083888,1.8668496911461907,CB,MC
0.9578894806924101,0.9906929649356414,0.9293382881360122,0.742846575953537,0.8896204615864525,0.9962915098050233,0.9850281936612871,0.9906278371394649,0.055842210386151794,1.326086956521739,CB,ML
0.9376664447403462,0.9859770306258322,0.8999817190471783,0.7777556728099543,0.8635167334134258,0.9909816261167612,0.9808136139921586,0.9858714032170157,0.08413781624500666,1.349799732977303,LB,MC
0.9551431424766977,0.9900410563692854,0.9099319359597959,0.7533429816642168,0.8792995988460178,0.9978367140529303,0.9822722495713259,0.9899933102910023,0.059753661784287614,1.3320964749536177,LB,ML
0.9380825565912118,0.9833416555703507,0.8523868119074021,0.7333973163836002,0.8608800599010323,0.9901106928133955,0.9764761297830484,0.9832461463346586,0.09995006657789614,1.614247311827957,AB,MC
0.9745339547270306,0.9948679538393254,0.9449270321906109,0.774953545963429,0.9149554650981939,0.9956453334831713,0.9939698210579458,0.9948068717718392,0.030792276964047936,1.2091503267973855,AB,ML
0.9175266311584553,0.9799572791833111,0.7616274642557409,0.8980380115559201,0.832257183473712,0.9699668483452267,0.9892266697229306,0.979502092346975,0.12025632490013316,1.4581231079717456,Base,MC
0.9637982689747004,0.9925654682645362,0.9022456318835348,0.7832413432922682,0.8778349861078156,0.9919649379108838,0.9929692333652061,0.9924668315718462,0.04460719041278296,1.232183908045977,Base,ML
0.8736684420772304,0.9605942077230359,0.7889420503935681,0.7374425809551405,0.7820039460707013,0.992498735741979,0.9320862246378724,0.9613443091366759,0.2364347536617843,1.8715415019762847,CB,MC
0.959470705725699,0.9908316688859299,0.9470231192520752,0.7718964754742993,0.8900347313108875,0.9964881721638479,0.985113178725177,0.9907680274864175,0.055009986684420774,1.3572895277207393,CB,ML
0.9405792276964048,0.9865179760319573,0.899847161746277,0.7448115820810105,0.857478297231295,0.9910097207394505,0.9818515838111674,0.9864093959731544,0.08089214380825566,1.361344537815126,LB,MC
0.9565579227696405,0.9903878162450066,0.9391089870319339,0.7639636296808561,0.8798856176934299,0.9977524301848626,0.9830320812688571,0.9903375580373949,0.05767310252996005,1.3275862068965518,LB,ML
0.9387483355525965,0.9838964713715047,0.8936887701901755,0.7807419742151148,0.8542904756834687,0.9908411530033152,0.9768717281112373,0.9838068538432572,0.09662117177097204,1.577445652173913,AB,MC
0.9735352862849534,0.9947847314691523,0.95568054890942,0.7669754908155217,0.9029710777121297,0.9953643872562792,0.9940796857463524,0.994721621697504,0.031291611185086554,1.1823899371069182,AB,ML
