Rotation,Class Accuracy,Bitwise Accuracy,Class Recall,Class Precision,Class F1,Bitwise Recall,Bitwise Precision,Bitwise F1,Mean Hamming Distance,Mean Error Distance,Trial,Training,Model
15.625,0.7942028985507247,0.9586956521739131,0.9495192307692307,0.9676629103380696,0.958505217180296,0.9495192307692307,0.9676629103380696,0.958505217180296,0.24782608695652175,1.204225352112676,0,CB,MC
18.75,0.5937940761636107,0.9132581100141044,0.8739971684756961,0.9477993858751279,0.909403388165971,0.8739971684756961,0.9477993858751279,0.909403388165971,0.5204513399153737,1.28125,0,CB,MC
21.875,0.47435897435897434,0.8779677113010447,0.8152492668621701,0.9246119733924612,0.8664935064935065,0.8152492668621701,0.9246119733924612,0.8664935064935065,0.7321937321937322,1.3929539295392954,0,CB,MC
25.0,0.2842998585572843,0.8175388967468176,0.7206650831353919,0.8907809747504404,0.7967436974789917,0.7206650831353919,0.8907809747504404,0.7967436974789917,1.0947666195190948,1.5296442687747036,0,CB,MC
-25.0,0.2196765498652291,0.7785265049415993,0.6165004533091568,0.9066666666666666,0.7339449541284403,0.6165004533091568,0.9066666666666666,0.7339449541284403,1.3288409703504043,1.7029360967184801,0,CB,ML
-21.875,0.34419263456090654,0.8397072710103871,0.7231424514907714,0.9420468557336621,0.8182061579651941,0.7231424514907714,0.9420468557336621,0.8182061579651941,0.9617563739376771,1.4665226781857452,0,CB,ML
-18.75,0.5408618127786032,0.9034175334323923,0.836245631552671,0.9643062751871042,0.8957219251336898,0.836245631552671,0.9643062751871042,0.8957219251336898,0.5794947994056464,1.2621359223300972,0,CB,ML
-15.625,0.7771428571428571,0.9561904761904761,0.9356555394291244,0.9743073047858942,0.9545903257650544,0.9356555394291244,0.9743073047858942,0.9545903257650544,0.26285714285714284,1.1794871794871795,0,CB,ML
-12.5,0.8675034867503487,0.9758251975825197,0.9627885068299576,0.9879168680521991,0.9751908396946565,0.9627885068299576,0.9879168680521991,0.9751908396946565,0.14504881450488144,1.0947368421052632,0,CB,ML
-9.375,0.9458333333333333,0.9898148148148148,0.984812529663028,0.9942501197891711,0.9895088221268479,0.984812529663028,0.9942501197891711,0.9895088221268479,0.06111111111111111,1.1282051282051282,0,CB,ML
-6.25,0.9846153846153847,0.9974358974358974,0.9957487009919698,0.9990521327014218,0.9973976815708541,0.9957487009919698,0.9990521327014218,0.9973976815708541,0.015384615384615385,1.0,0,CB,ML
-3.125,0.9867724867724867,0.9973544973544973,0.9955337204108977,0.9991035410129987,0.9973154362416108,0.9955337204108977,0.9991035410129987,0.9973154362416108,0.015873015873015872,1.2,0,CB,ML
0.0,0.97677793904209,0.996129656507015,0.996076508092202,0.996076508092202,0.996076508092202,0.996076508092202,0.996076508092202,0.996076508092202,0.023222060957910014,1.0,0,CB,ML
3.125,0.9810771470160117,0.9963609898107715,0.996057171020207,0.9965483234714004,0.996302686714321,0.996057171020207,0.9965483234714004,0.996302686714321,0.021834061135371178,1.1538461538461537,0,CB,ML
6.25,0.9789029535864979,0.9957805907172996,0.995164410058027,0.9961277831558567,0.9956458635703919,0.995164410058027,0.9961277831558567,0.9956458635703919,0.02531645569620253,1.2,0,CB,ML
9.375,0.9508196721311475,0.9897540983606558,0.9857863365428703,0.9935304990757856,0.9896432681242808,0.9857863365428703,0.9935304990757856,0.9896432681242808,0.06147540983606557,1.25,0,CB,ML
