Evaluation,Resampling Scenario,Model,Class,Class Recall,Class Precision,Class F1
BCD,Label Resampled,Multilabel,45,0.5166666666666667,0.43661971830985913,0.4732824427480916
BCD,Label Resampled,Multilabel,46,,0.0,
BCD,Label Resampled,Multilabel,47,,0.0,
BCD,Label Resampled,Multilabel,48,,0.0,
BCD,Label Resampled,Multilabel,49,,0.0,
BCD,Label Resampled,Multilabel,50,,0.0,
BCD,Label Resampled,Multilabel,51,,0.0,
BCD,Label Resampled,Multilabel,52,,0.0,
BCD,Label Resampled,Multilabel,53,0.31666666666666665,0.9047619047619048,0.4691358024691357
BCD,Label Resampled,Multilabel,54,,0.0,
BCD,Label Resampled,Multilabel,55,,0.0,
BCD,Label Resampled,Multilabel,56,,0.0,
BCD,Label Resampled,Multilabel,57,,0.0,
BCD,Label Resampled,Multilabel,58,0.21666666666666667,1.0,0.3561643835616438
BCD,Label Resampled,Multilabel,59,,0.0,
BCD,Label Resampled,Multilabel,60,,0.0,
BCD,Label Resampled,Multilabel,61,0.6166666666666667,0.7551020408163265,0.6788990825688074
BCD,Label Resampled,Multilabel,62,,0.0,
BCD,Label Resampled,Multilabel,63,,0.0,
ABC,Label Resampled,Multilabel,0,,0.0,
ABC,Label Resampled,Multilabel,1,0.6868686868686869,0.4146341463414634,0.5171102661596958
ABC,Label Resampled,Multilabel,2,,0.0,
ABC,Label Resampled,Multilabel,3,0.6868686868686869,0.40476190476190477,0.5093632958801498
ABC,Label Resampled,Multilabel,4,,0.0,
ABC,Label Resampled,Multilabel,5,0.45454545454545453,0.46875,0.4615384615384615
ABC,Label Resampled,Multilabel,6,,0.0,
ABC,Label Resampled,Multilabel,7,,0.0,
ABC,Label Resampled,Multilabel,8,,0.0,
ABC,Label Resampled,Multilabel,9,,0.0,
ABC,Label Resampled,Multilabel,10,0.3838383838383838,0.4470588235294118,0.4130434782608695
ABC,Label Resampled,Multilabel,11,0.40404040404040403,0.547945205479452,0.46511627906976744
ABC,Label Resampled,Multilabel,12,0.4444444444444444,0.676923076923077,0.5365853658536585
ABC,Label Resampled,Multilabel,13,0.43434343434343436,0.4387755102040816,0.43654822335025373
ABC,Label Resampled,Multilabel,14,0.6262626262626263,0.6966292134831461,0.6595744680851064
ABC,Label Resampled,Multilabel,15,,0.0,
ABC,Label Resampled,Multilabel,16,,0.0,
ABC,Label Resampled,Multilabel,17,,0.0,
ABC,Label Resampled,Multilabel,18,,0.0,
ABC,Label Resampled,Multilabel,19,0.2727272727272727,0.7297297297297297,0.3970588235294118
ABC,Label Resampled,Multilabel,20,,0.0,
ABC,Label Resampled,Multilabel,21,0.494949494949495,0.765625,0.6012269938650306
ABC,Label Resampled,Multilabel,22,,0.0,
ABC,Label Resampled,Multilabel,23,0.5252525252525253,0.8387096774193549,0.6459627329192548
ABC,Label Resampled,Multilabel,24,,0.0,
ABC,Label Resampled,Multilabel,25,0.3838383838383838,0.7037037037037037,0.4967320261437908
ABC,Label Resampled,Multilabel,26,0.29292929292929293,0.7073170731707317,0.4142857142857142
ABC,Label Resampled,Multilabel,27,,0.0,
ABC,Label Resampled,Multilabel,28,0.4444444444444444,0.8,0.5714285714285714
ABC,Label Resampled,Multilabel,29,0.4444444444444444,0.8627450980392157,0.5866666666666667
ABC,Label Resampled,Multilabel,30,0.41414141414141414,0.7884615384615384,0.5430463576158939
ABC,Label Resampled,Multilabel,31,0.3939393939393939,0.7358490566037735,0.513157894736842
ABC,Label Resampled,Multilabel,32,,0.0,
ABC,Label Resampled,Multilabel,33,,0.0,
ABC,Label Resampled,Multilabel,34,,0.0,
ABC,Label Resampled,Multilabel,35,0.47474747474747475,0.9038461538461539,0.6225165562913907
ABC,Label Resampled,Multilabel,36,,0.0,
ABC,Label Resampled,Multilabel,37,,0.0,
ABC,Label Resampled,Multilabel,38,,0.0,
ABC,Label Resampled,Multilabel,39,,0.0,
ABC,Label Resampled,Multilabel,40,,0.0,
ABC,Label Resampled,Multilabel,41,0.36363636363636365,0.6428571428571429,0.4645161290322581
ABC,Label Resampled,Multilabel,42,,0.0,
ABC,Label Resampled,Multilabel,43,0.36363636363636365,0.8888888888888888,0.5161290322580644
ABC,Label Resampled,Multilabel,44,,0.0,
ABC,Label Resampled,Multilabel,45,0.37373737373737376,0.8043478260869565,0.5103448275862069
ABC,Label Resampled,Multilabel,46,0.41414141414141414,0.82,0.5503355704697985
ABC,Label Resampled,Multilabel,47,0.4444444444444444,0.7719298245614035,0.5641025641025641
ABC,Label Resampled,Multilabel,48,,0.0,
ABC,Label Resampled,Multilabel,49,0.48484848484848486,0.8888888888888888,0.6274509803921569
ABC,Label Resampled,Multilabel,50,,0.0,
ABC,Label Resampled,Multilabel,51,0.30303030303030304,0.9090909090909091,0.45454545454545453
ABC,Label Resampled,Multilabel,52,,0.0,
ABC,Label Resampled,Multilabel,53,,0.0,
ABC,Label Resampled,Multilabel,54,,0.0,
ABC,Label Resampled,Multilabel,55,0.41414141414141414,0.8723404255319149,0.5616438356164384
ABC,Label Resampled,Multilabel,56,0.050505050505050504,0.35714285714285715,0.08849557522123894
ABC,Label Resampled,Multilabel,57,0.29292929292929293,0.7631578947368421,0.4233576642335766
ABC,Label Resampled,Multilabel,58,0.35353535353535354,0.8333333333333334,0.49645390070921985
ABC,Label Resampled,Multilabel,59,,0.0,
ABC,Label Resampled,Multilabel,60,,0.0,
ABC,Label Resampled,Multilabel,61,,0.0,
ABC,Label Resampled,Multilabel,62,0.5050505050505051,0.7936507936507936,0.617283950617284
ABC,Label Resampled,Multilabel,63,0.45454545454545453,0.7894736842105263,0.5769230769230769
Braille37,Label Resampled,Multilabel,0,0.7111801242236024,0.7710437710437711,0.7399030694668821
