Model Type,Training,Evaluation,Label,Character Accuracy,Dot Accuracy,Dot Recall,Dot Precision,Dot F1,Hamming Distance,Missclassification HD,Character Recall,Character Precision,Character F1
Multi-label,Baseline,OOD Test,3,0.9648669452386188,0.9938879114434426,0.995347040247262,0.993461312767206,0.9944032825125653,0.03667253133934462,1.0438184663536776,0.9375687215172764,0.71389292526196,0.9317474068109022
Multi-label,Baseline,OOD Test,4,0.9420731707317073,0.9897831978319783,0.9949140628230397,0.9844659929353682,0.9896624530423098,0.06130081300813008,1.0582456140350878,0.9440694880757148,0.644871766573174,0.9274975242874339
Multi-label,Baseline,OOD Test,5,0.9550852150372239,0.9921552944071864,0.9931285671372785,0.9925136499240107,0.9928210133163163,0.047068233556881806,1.047945205479452,0.9276204972907309,0.5742103983798547,0.9228412042534254
Multi-class,Class-balance,ID Test,0,0.9862472940277601,0.9974107559743622,0.9977305459782656,0.9969473638306223,0.9973388011517319,0.015535464153826563,1.1296296296296295,0.9525027676266297,0.7019229723148461,0.9658327885615566
Multi-class,Class-balance,ID Test,1,0.9876743431722348,0.9975402746242837,0.9975783406790333,0.9980133733888943,0.9977958096160834,0.014758352254297762,1.1973684210526316,0.942883546158745,0.8326561998734434,0.9748137617574945
Multi-class,Class-balance,ID Test,2,0.9860736747529201,0.9972796246381153,0.9969789823486255,0.998314606741573,0.9976463475200276,0.016322252171308775,1.1720430107526882,0.977688583697268,0.5899749688366791,0.9587579849333804
Multi-class,Class-balance,ID Test,3,0.9855551688130874,0.9970414201183432,0.9968991484963331,0.9980781550288277,0.9974883033735533,0.01775147928994083,1.2289156626506024,0.9435849535172496,0.6375967148003651,0.9641716556468888
Multi-class,Class-balance,ID Test,4,0.9854437314133667,0.9970783116815359,0.99705868835884,0.9977923929540542,0.9974254057284722,0.017530129910784162,1.2043010752688172,0.9432094941620501,0.7071069068405178,0.9500477229903534
Multi-class,Class-balance,ID Test,5,0.9855177407675597,0.996741491672701,0.9961198952371714,0.998638529611981,0.9973776223776224,0.01955104996379435,1.35,0.9431873224083137,0.6973622848841255,0.963434089593952
Multi-label,Class-balance,ID Test,0,0.9872660129886668,0.99770788233796,0.9975996159385502,0.9976867007114486,0.997643156424581,0.013752705972239909,1.08,0.9854757834767507,0.6511085674804346,0.9724264284664828
